Serial_Number,BSC_Indicator,Resigned,Is_MPT,Is_Re-Entry,Exp_at_Action,Age_at_Action,SUP_Is_MPT,SUP_Exp_at_Action,SUP_Age_at_Action,Is_SUP,SUP_Gender_F,SUP_Gender_M,Gender_F,Gender_M,SUP_Older_Than_EMP,Age_Diff_SUPvsEMP,EduAllowFinishedIn1y,EduAllowYearDiff,EDU_Allowance,House_Loan,Is_STEM,MAX_Degree,Year_After_Grad,count3M,days3M,count1Y,days1Y,VAC_DependentCare,VAC_Maternity,VAC_Others,VAC_Personal,VAC_Sick,VAC_Vacation
1,0,0,1,0,43.5026044340404,59.83969554474082,1.0,17.33916507525822,44.83870305345079,0.0,0,1,0,1,0,-15.000992491290033,,,0.0,0.0,0.0,1.0,45.58615166635865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0,37.66812460214789,59.83969554474082,1.0,20.005886500065024,52.425443369815945,0.0,1,0,0,1,0,-7.414252174924878,,,0.0,0.0,0.0,1.0,46.75250005133576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,0,36.5921271484014,59.42627158668556,1.0,32.08827012190531,59.50840879689521,0.0,0,1,0,1,1,0.08213721020965523,,,0.0,0.0,0.0,1.0,37.75299971936453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,1,0,37.42171297151892,59.83695763773383,1.0,31.66937034983607,58.421459715120776,0.0,0,1,0,1,0,-1.4154979226130584,,,0.0,0.0,0.0,2.0,9.423875918054444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,0,40.58673347159764,59.83695763773383,1.0,13.837382013319917,41.75581976358173,0.0,0,1,0,1,0,-18.081137874152105,,,0.0,0.0,0.0,1.0,43.5026044340404,4.0,6.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,1.4545454545454546
18,0,0,1,0,33.752917582154325,60.83081788127066,1.0,17.66771391609684,40.41972114417134,0.0,0,1,0,1,0,-20.411096737099324,,,0.0,0.0,1.0,1.0,37.914536232776854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0,1,0,34.83712875692177,59.83695763773383,1.0,10.836635933660514,39.584659507039845,0.0,0,1,1,0,0,-20.25229813069399,,,0.0,0.0,0.0,1.0,35.4257787634243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0,1,0,33.50376804451837,59.251045538238294,1.0,20.756073019979876,45.67102678357529,1.0,0,1,0,1,0,-13.580018754662998,,,0.0,0.0,1.0,2.0,35.8556301635215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,1,0,33.08486827244913,59.42079577267158,1.0,29.91710986536342,51.58764382567746,0.0,0,1,0,1,0,-7.83315194699412,,,0.0,0.0,0.0,2.0,24.507005619554132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0,1,0,33.08486827244913,58.169572270477836,1.0,14.669705743444425,42.002231394210696,0.0,0,1,0,1,0,-16.167340876267136,,,0.0,0.0,0.0,2.0,34.67285433650246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0,1,0,36.08835225911552,59.83695763773383,1.0,10.669623606234214,40.83588300923359,0.0,0,1,0,1,0,-19.001074628500245,,,0.0,0.0,0.0,1.0,41.00563324366688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0,1,0,34.169079447216575,55.672601080104315,1.0,13.588232475683963,38.50318623927938,0.0,1,0,1,0,0,-17.16941484082493,,,0.0,0.0,0.0,1.0,36.833062965016396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0,0,0,33.175219203679745,59.83969554474082,1.0,20.589060692553577,53.008617562304494,0.0,1,0,1,0,0,-6.831077982436327,,,0.0,0.0,0.0,1.0,39.96249067400426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,37.75573762637152,55.51106456669199,1.0,13.42669596227164,52.091418714963346,0.0,0,1,0,1,0,-3.419645851728646,,,0.0,1.0,0.0,1.0,39.83928485868977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,0,0,34.17455526123055,59.502932982881234,1.0,31.839120584269356,53.92307850263866,0.0,1,0,0,1,0,-5.579854480242578,,,0.0,0.0,0.0,1.0,41.090508360883526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
