Serial_Number,BSC_Indicator,Resigned,Is_MPT,Is_Re-Entry,Exp_at_Action,Age_at_Action,SUP_Is_MPT,SUP_Exp_at_Action,SUP_Age_at_Action,Is_SUP,SUP_Gender_F,SUP_Gender_M,Gender_F,Gender_M,SUP_Older_Than_EMP,Age_Diff_SUPvsEMP,EduAllowFinishedIn1y,EduAllowYearDiff,EDU_Allowance,House_Loan,Is_STEM,MAX_Degree,Year_After_Grad,count3M,days3M,count1Y,days1Y,VAC_DependentCare,VAC_Maternity,VAC_Others,VAC_Personal,VAC_Sick,VAC_Vacation
357,1,0,1,0,37.3067208772254,58.81298041712013,1.0,32.47705291689768,58.72810529990349,0.0,1,0,1,0,0,-0.08487511721664373,,,0.0,0.0,0.0,1.0,38.147258328370874,4.0,13.0,9.0,26.0,0.5,0.0,0.0,1.0,1.0,1.8107874015748031
368,0,0,1,0,36.83853877903037,59.83969554474082,1.0,8.58607637391596,35.16841550476738,0.0,1,0,0,1,0,-24.671280039973443,,,0.0,0.0,0.0,1.0,37.92274995379782,6.0,13.0,17.0,38.0,0.0,0.0,6.0,1.3333333333333333,1.5319148936170213,2.1782178217821784
371,0,0,1,0,37.06304715360343,59.06486786176308,1.0,32.559190127107335,57.64389412513604,1.0,0,1,0,1,0,-1.4209737366270354,,,0.0,0.0,0.0,1.0,38.177375305447754,8.0,8.0,25.0,28.0,0.0,0.0,0.25,0.0,6.666666666666667,1.2964824120603016
378,0,0,0,0,36.89603482617713,57.476881797709744,1.0,26.062136799523604,46.72785888827286,0.0,0,1,0,1,0,-10.749022909436881,,,0.0,1.0,0.0,1.0,38.393669958999844,9.0,12.0,19.0,24.0,0.0,0.0,3.875,1.0,6.897435897435898,1.1283185840707965
414,0,0,1,0,34.08968014401391,59.83969554474082,1.0,27.42561448900388,50.090008692854745,0.0,0,1,0,1,0,-9.749686851886075,,,0.0,0.0,1.0,1.0,37.50932599574256,2.0,2.0,10.0,11.0,0.0,0.0,6.0,0.0,0.0,1.875
428,1,0,1,0,34.06230107394402,56.30779550572565,1.0,24.8957884145465,52.06403964489346,1.0,0,1,0,1,0,-4.243755860832187,,,0.0,1.0,1.0,3.0,24.16202933667358,1.0,2.0,13.0,19.0,0.0,0.0,0.0,2.0,0.0,1.3920661157024794
445,0,0,1,0,33.558526184658135,55.06478572455286,1.0,19.064046489660978,53.55893687070919,0.0,1,0,1,0,0,-1.5058488538436792,0.0,12.0,1.0,1.0,0.0,2.0,11.98108106258171,1.0,1.0,16.0,18.0,0.0,0.0,0.5,1.0,1.75,1.0921787709497206
448,1,0,0,0,33.558526184658135,55.72735922024408,1.0,13.894878060466676,39.97891811604619,0.0,1,0,1,0,0,-15.748441104197896,,,0.0,1.0,0.0,1.0,36.39225993689124,0.0,0.0,11.0,14.0,0.0,0.0,5.0,0.0,3.3333333333333335,1.2122641509433962
449,1,0,1,0,32.47705291689768,55.72735922024408,1.0,32.89595268896692,56.55968295036859,0.0,1,0,0,1,1,0.8323237301245063,,,0.0,1.0,0.0,1.0,34.02397037584618,1.0,2.0,20.0,22.0,0.0,0.0,2.8,2.0,1.5,1.1983122362869199
455,0,0,1,0,33.06296501639322,52.477463602948724,1.0,26.14427400973326,58.06279389720528,1.0,0,1,0,1,1,5.585330294256556,,,0.0,0.0,1.0,3.0,28.01152658849942,4.0,4.0,24.0,25.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.4068627450980393
458,0,0,0,0,32.89595268896692,57.3920066804931,1.0,9.229484520558259,36.64414738153419,0.0,1,0,0,1,0,-20.74785929895891,,,0.0,1.0,1.0,2.0,18.023641827005346,0.0,0.0,11.0,12.0,0.0,0.0,1.0,2.0,5.0,1.3595505617977528
461,0,0,1,0,32.89595268896692,55.308459448174844,1.0,20.558943715476705,49.64372985071562,1.0,0,1,1,0,0,-5.664729597459222,,,0.0,0.0,0.0,3.0,24.148339801638638,3.0,6.5,9.0,19.5,0.0,0.0,0.0,0.0,0.0,1.3565243902439024
468,0,0,1,0,32.25254454232462,55.505588752678015,1.0,25.67061609752425,47.83944913311019,0.0,0,1,0,1,0,-7.666139619567821,,,0.0,1.0,1.0,2.0,33.78029665222421,5.0,13.0,17.0,26.0,0.0,0.0,2.0,1.8,2.125,1.4545454545454546
470,0,0,1,0,32.559190127107335,54.97991060733622,1.0,16.64373669548314,42.06246534836444,1.0,1,0,0,1,0,-12.91744525897178,,,0.0,1.0,0.0,3.0,27.149085881298042,4.0,6.0,23.0,27.0,0.0,0.0,3.0,2.0,1.9,1.0816326530612246
471,1,0,1,0,32.47705291689768,58.72810529990349,1.0,22.062054662313393,48.06395750768325,1.0,0,1,1,0,0,-10.664147792220238,,,0.0,1.0,1.0,3.0,34.39358782178963,2.0,2.0,11.0,23.0,0.0,0.0,3.6,0.0,1.5,1.3843781094527363
472,0,0,1,0,32.559190127107335,57.64389412513604,1.0,18.645146717591736,44.55943653873796,1.0,1,0,0,1,0,-13.084457586398077,,,0.0,1.0,1.0,1.0,35.14925015571846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,0,0,0,0,32.230641286268714,55.23179805197916,1.0,25.97726168230696,54.30912339062404,0.0,0,1,0,1,0,-0.9226746613551271,,,0.0,1.0,1.0,1.0,33.191646645721676,5.0,6.0,23.0,28.0,0.0,0.0,1.0,1.1666666666666667,4.0,1.2027649769585254
480,0,0,1,0,32.14576616905207,54.14484897020473,1.0,31.55985406955653,52.81148825780132,0.0,0,1,0,1,0,-1.3333607124034033,,,0.0,1.0,1.0,1.0,32.15124198306604,6.0,7.0,26.0,30.0,0.0,0.0,0.0,0.75,3.25,1.1481481481481481
482,1,0,1,0,32.14576616905207,54.478873625057325,1.0,22.14419187252305,54.81289827990992,0.0,0,1,0,1,1,0.3340246548525979,,,0.0,1.0,0.0,3.0,26.147011916740247,1.0,1.0,15.0,20.0,0.0,0.0,0.0,0.0,2.0,1.2783505154639174
486,0,0,1,0,32.063628958842415,53.30704942606624,1.0,27.146347974291054,50.06262962278486,1.0,0,1,0,1,0,-3.2444198032813816,,,0.0,1.0,0.0,2.0,28.205917985995605,3.0,3.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,1.4648101265822784
