Serial Number,Gender,Age Action,Exp Action,SUP-Gender,SUP-Age Action,SUP-Exp Action,Re-Entry,MPT,Ed Allowance,House Loan,Resign
A1,0,60.1260274,43.77808219,1,45.11506849,17.59726027,0,1,0,0,0
A2,0,56.20547945,38.35616438,0,0,0,0,1,0,0,0
A3,0,60.04109589,39.65479452,0,0,0,0,0,0,0,0
A4,1,58.20273973,38.2739726,0,0,0,0,1,0,0,0
A5,0,61.12054795,39.10410959,0,0,0,0,1,0,0,0
A6,0,60.1260274,37.93972603,2,52.70684932,20.26575342,0,0,0,0,0
A7,0,61.1260274,37.94794521,0,0,0,0,1,0,0,0
A8,0,59.71232877,36.8630137,1,59.79452055,32.35616438,0,1,0,0,0
A9,0,61.04109589,35.77808219,0,0,0,0,0,0,0,0
A10,0,57.36986301,37.94246575,0,0,0,0,1,0,0,0
A11,0,60.12328767,37.69315068,1,58.70684932,31.9369863,0,1,0,0,0
A12,0,53.36712329,35.27123288,0,0,0,0,1,0,0,1
A13,0,60.12328767,40.86027397,1,42.03013699,14.09315068,0,0,0,0,0
A14,0,54.37260274,36.27671233,0,0,0,0,0,0,0,1
A15,1,54.7890411,34.69315068,0,0,0,0,1,0,0,1
A16,0,60.1260274,34.1890411,0,0,0,0,1,0,0,0
A17,1,56.95616438,35.27123288,0,0,0,0,1,0,0,0
A18,0,61.11780822,34.02191781,1,40.69315068,17.9260274,0,1,0,0,0
A19,1,55.87123288,34.35616438,0,0,0,0,1,0,0,0
A20,0,58.70958904,34.5260274,0,0,0,0,1,0,0,0
A21,0,60.12328767,36.02465753,0,0,0,0,1,0,0,0
A22,1,60.12328767,35.10684932,1,39.85753425,11.09041096,0,1,0,0,0
A23,0,57.86849315,32.99178082,0,0,0,0,0,0,0,0
A24,0,57.28767123,33.49041096,1,33.68493151,10.17260274,0,0,0,0,0
A25,0,54.53424658,32.06027397,0,0,0,0,1,0,0,0
A26,0,59.5369863,33.77260274,1,45.94794521,21.01643836,0,1,0,0,0
A27,0,59.79452055,32.35616438,0,0,0,0,1,0,0,0
A28,0,59.70684932,33.35342466,1,51.86849315,30.18356164,0,1,0,0,0
A29,0,58.45479452,33.35342466,1,42.27671233,14.9260274,0,1,0,0,0
A30,0,60.12328767,36.35890411,1,41.10958904,10.92328767,0,1,0,0,0
A31,0,57.44931507,33.02191781,1,47.44383562,27.84931507,0,0,0,0,0
A32,1,55.95616438,34.43835616,2,38.77534247,13.84383562,0,1,0,0,0
A33,1,60.1260274,33.44383562,2,53.29041096,20.84931507,0,0,0,0,0
A34,0,55.79452055,38.02739726,1,52.37260274,13.68219178,0,0,0,1,0
A35,0,59.7890411,34.44383562,2,54.20547945,32.10684932,0,0,0,0,0
A36,0,55.86849315,32.1890411,1,56.44931507,30.6,0,1,0,0,0
A37,0,53.61643836,30.9369863,0,0,0,0,1,0,0,0
A38,0,57.95342466,32.10410959,1,30.76712329,9.17260274,0,0,0,0,0
A39,1,55.12054795,33.10684932,1,45.94794521,21.01643836,0,1,0,0,0
A40,0,60.12328767,40.19452055,1,37.6109589,15.42739726,0,1,0,0,0
A41,0,57.61917808,31.76986301,1,47.44383562,27.84931507,0,0,0,0,0
A42,0,56.28767123,31.76986301,1,30.76712329,9.17260274,0,0,0,0,0
A43,0,54.61917808,30.74794521,0,0,0,0,0,0,0,0
A44,0,60.12328767,32.52054795,0,0,0,0,0,0,0,0
A45,0,60.45205479,31.76986301,1,47.44383562,27.84931507,0,0,0,0,0
A46,0,60.12328767,34.52054795,1,41.86027397,4.169863014,0,1,0,0,0
A47,0,60.1260274,38.86027397,1,49.86575342,21.76164384,0,0,0,0,0
A48,0,58.79178082,31.1890411,1,28.85753425,3.336986301,0,0,0,0,0
A49,0,60.1260274,33.43835616,1,39.35616438,6.090410959,0,1,0,0,0
A50,0,61.1260274,31.10684932,1,41.61643836,18.76712329,0,1,0,0,0
A51,0,56.95342466,32.26575342,1,53.69863014,32.1890411,0,0,0,0,0
A52,0,57.53424658,36.02465753,0,0,0,0,1,0,0,0
A53,0,55.95342466,33.19178082,1,40.69315068,9.336986301,0,0,0,0,0
A54,0,57.44931507,32.35616438,1,33.68493151,10.17260274,0,0,0,0,0
A55,0,60.12328767,32.77260274,1,44.03013699,20.18082192,0,1,0,0,0
A56,0,60.1260274,36.44109589,1,39.69315068,18.09863014,0,1,0,0,0
A57,0,60.1260274,32.85753425,1,39.77534247,14.59726027,0,1,0,0,0
A58,0,52.95342466,30.46575342,0,0,0,0,0,0,0,0
A59,0,60.12328767,39.35616438,0,0,0,0,1,0,0,0
A60,0,60.1260274,35.27123288,1,38.52328767,16.92876712,0,1,0,0,0
A61,0,60.1260274,35.10958904,1,52.70684932,25.26849315,0,1,0,0,0
A62,0,60.1260274,36.10958904,1,33.94520548,11.76164384,0,1,0,0,0
A63,0,60.1260274,35.43835616,1,46.11506849,17.42465753,0,1,0,0,0
A64,0,60.12328767,35.52054795,1,44.6109589,22.18082192,0,0,0,0,0
A65,0,60.11780822,35.18630137,1,50.03287671,28.68493151,0,1,0,0,0
A66,0,57.54246575,32.10684932,1,32.19178082,10.50958904,0,1,0,0,0
A67,0,60.1260274,32.60547945,1,59.95616438,32.60547945,0,1,0,0,0
A68,0,60.1260274,37.44109589,1,37.86027397,13.26027397,0,1,0,0,0
A69,0,60.12328767,34.93972603,1,32.77534247,10.59178082,0,1,0,0,0
A70,0,60.1260274,34.10958904,1,37.36164384,15.76712329,0,0,0,0,0
